stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\meus programas\jogo final\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.76377] added dtor for sub_bitmap 0000000002773170, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76385] added dtor for sub_bitmap 0000000002772530, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76393] added dtor for sub_bitmap 0000000002773bf0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76401] added dtor for sub_bitmap 0000000002773a30, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76412] added dtor for sub_bitmap 0000000002773870, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76418] added dtor for sub_bitmap 0000000002774130, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76430] added dtor for sub_bitmap 0000000002772370, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76437] added dtor for sub_bitmap 0000000002773db0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76446] added dtor for sub_bitmap 0000000002772c30, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76452] added dtor for sub_bitmap 0000000002773f70, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76459] added dtor for sub_bitmap 0000000002773330, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76465] added dtor for sub_bitmap 0000000002772df0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76477] added dtor for sub_bitmap 00000000027726f0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76488] added dtor for sub_bitmap 00000000027728b0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76500] added dtor for sub_bitmap 0000000002772a70, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76506] added dtor for sub_bitmap 0000000002772fb0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76514] added dtor for sub_bitmap 0000000002775900, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76520] added dtor for sub_bitmap 0000000002776000, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76526] added dtor for sub_bitmap 0000000002775200, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76532] added dtor for sub_bitmap 0000000002775e40, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76540] added dtor for sub_bitmap 0000000002775040, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76547] added dtor for sub_bitmap 0000000002775c80, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76556] added dtor for sub_bitmap 00000000027753c0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76564] added dtor for sub_bitmap 0000000002774e80, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76570] added dtor for sub_bitmap 0000000002774b00, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76577] added dtor for sub_bitmap 00000000027761c0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76582] added dtor for sub_bitmap 0000000002774cc0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76588] added dtor for sub_bitmap 0000000002775580, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76593] added dtor for sub_bitmap 0000000002775740, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76598] added dtor for sub_bitmap 0000000002775ac0, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76603] added dtor for sub_bitmap 0000000002774780, func 00007ffd72151bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.76609] added dtor for sub_bitmap 0000000002774940, func 00007ffd72151bf8
